contador,distancia1,distancia2,humedad,temperatura,time
1,1,16,82.16016,18.66,2025-01-05T14:46:35.012835069Z
0,1,16,82.19141,18.66,2025-01-05T14:46:42.119316309Z
1,1,16,82.08203,18.66,2025-01-05T14:46:49.325755694Z
0,1,16,82.23828,18.66,2025-01-05T14:46:56.493837022Z
1,1,16,82.37012,18.65,2025-01-05T14:47:03.606137196Z
0,1,16,82.36816,18.65,2025-01-05T14:47:10.729982132Z
1,1,16,82.36523,18.63,2025-01-05T14:47:17.84531364Z
0,1,16,82.38867,18.63,2025-01-05T14:47:24.998592419Z
1,1,16,82.37598,18.63,2025-01-05T14:47:32.111451621Z
0,1,16,82.34473,18.64,2025-01-05T14:47:39.235155441Z
1,1,16,82.33008,18.62,2025-01-05T14:47:46.332633078Z
0,1,16,82.33887,18.61,2025-01-05T14:47:53.440915461Z
1,1,16,82.27246,18.61,2025-01-05T14:48:00.599528573Z
0,1,16,82.2832,18.61,2025-01-05T14:48:07.714844836Z
1,1,16,82.31543,18.6,2025-01-05T14:48:14.93421082Z
0,1,16,82.36914,18.59,2025-01-05T14:48:22.102193755Z
1,1,16,82.35059,18.61,2025-01-05T14:48:29.215977678Z
0,1,16,82.36914,18.59,2025-01-05T14:48:36.317797338Z
1,1,16,82.36719,18.58,2025-01-05T14:48:43.50383632Z
0,1,16,82.36719,18.58,2025-01-05T14:48:50.622309019Z
1,1,16,82.44336,18.58,2025-01-05T14:48:57.726399293Z
0,1,16,82.46582,18.57,2025-01-05T14:49:04.833646092Z
1,1,16,82.43262,18.57,2025-01-05T14:49:11.940472729Z
0,1,16,82.39941,18.57,2025-01-05T14:49:19.139361229Z
1,1,16,82.47559,18.56,2025-01-05T14:49:26.247846662Z
0,1,16,82.5293,18.56,2025-01-05T14:49:33.369195529Z
1,1,16,82.52148,18.57,2025-01-05T14:49:40.466847542Z
0,1,16,82.50684,18.56,2025-01-05T14:49:47.579039789Z
1,1,16,82.4834,18.55,2025-01-05T14:49:54.779773789Z
0,1,16,82.49609,18.56,2025-01-05T14:50:01.894450835Z
1,1,16,82.49414,18.54,2025-01-05T14:50:09.00811301Z
0,1,16,82.49316,18.54,2025-01-05T14:50:16.140186739Z
1,1,16,82.50586,18.54,2025-01-05T14:50:23.237912122Z
0,1,16,82.53711,18.54,2025-01-05T14:50:30.35395154Z
1,1,16,82.53711,18.54,2025-01-05T14:50:37.579755259Z
0,1,16,82.54688,18.53,2025-01-05T14:50:44.693747059Z
1,1,16,82.49121,18.53,2025-01-05T14:50:51.915351587Z
0,1,16,82.49121,18.52,2025-01-05T14:50:59.084468536Z
1,1,16,82.54688,18.53,2025-01-05T14:51:06.195724052Z
0,1,16,82.56934,18.52,2025-01-05T14:51:13.311054037Z
1,1,16,82.58008,18.52,2025-01-05T14:51:20.486618988Z
0,1,16,82.6123,18.52,2025-01-05T14:51:27.59263108Z
1,1,16,82.6416,18.5,2025-01-05T14:51:34.71538697Z
0,1,16,82.66797,18.52,2025-01-05T14:51:41.836932797Z
1,1,16,82.66406,18.5,2025-01-05T14:51:49.054231312Z
0,1,16,82.65332,18.5,2025-01-05T14:51:56.211324054Z
1,1,16,82.65332,18.5,2025-01-05T14:52:03.390736575Z
0,1,16,82.61914,18.5,2025-01-05T14:52:10.507113699Z
1,1,16,82.68848,18.51,2025-01-05T14:52:17.613118877Z
0,1,16,82.69727,18.5,2025-01-05T14:52:24.79342131Z
1,1,16,82.67188,18.48,2025-01-05T14:52:31.908829348Z
0,1,16,82.62695,18.48,2025-01-05T14:52:39.12937055Z
1,1,16,82.60645,18.49,2025-01-05T14:52:46.299147682Z
0,1,16,82.61914,18.5,2025-01-05T14:52:53.414314018Z
1,1,16,82.61816,18.49,2025-01-05T14:53:00.572088276Z
0,1,16,82.61816,18.49,2025-01-05T14:53:07.812184513Z
1,1,16,82.61621,18.48,2025-01-05T14:53:14.918473556Z
0,1,16,82.64941,18.48,2025-01-05T14:53:22.021821566Z
1,1,16,82.65918,18.47,2025-01-05T14:53:29.12962753Z
0,1,16,82.64648,18.47,2025-01-05T14:53:36.268736741Z
1,1,16,82.65723,18.47,2025-01-05T14:53:43.437116104Z
0,1,16,82.66895,18.47,2025-01-05T14:53:50.605984279Z
1,1,16,82.65918,18.47,2025-01-05T14:53:57.725262501Z
0,1,16,82.62402,18.47,2025-01-05T14:54:04.9420508Z
1,1,16,82.59082,18.46,2025-01-05T14:54:12.053089132Z
0,1,16,82.63379,18.46,2025-01-05T14:54:19.169043799Z
1,1,16,82.64648,18.46,2025-01-05T14:54:26.274930773Z
0,1,16,82.63379,18.46,2025-01-05T14:54:33.38346332Z
1,1,16,82.63379,18.46,2025-01-05T14:54:40.578604001Z
0,1,16,82.63379,18.46,2025-01-05T14:54:47.690989413Z
1,1,16,82.67773,18.46,2025-01-05T14:54:54.811417126Z
0,1,16,82.66699,18.46,2025-01-05T14:55:01.995710813Z
1,1,16,82.67969,18.46,2025-01-05T14:55:09.13555542Z
0,1,16,82.6875,18.45,2025-01-05T14:55:16.241613824Z
1,1,16,82.74512,18.45,2025-01-05T14:55:23.346084306Z
0,1,16,82.7666,18.45,2025-01-05T14:55:30.549266883Z
1,1,16,82.80078,18.46,2025-01-05T14:55:37.668263889Z
0,1,16,82.82129,18.44,2025-01-05T14:55:44.773065065Z
1,1,16,82.85059,18.43,2025-01-05T14:55:51.952081136Z
0,1,16,82.83008,18.44,2025-01-05T14:55:59.119241367Z
1,1,16,82.79883,18.45,2025-01-05T14:56:06.237411177Z
0,1,16,82.75293,18.44,2025-01-05T14:56:13.456202994Z
1,1,16,82.74121,18.44,2025-01-05T14:56:20.592152104Z
0,1,16,82.75391,18.44,2025-01-05T14:56:27.790792615Z
1,1,16,82.76172,18.43,2025-01-05T14:56:34.896207375Z
0,1,16,82.76563,18.44,2025-01-05T14:56:42.126976305Z
1,1,16,82.77344,18.43,2025-01-05T14:56:49.295165488Z
0,1,16,82.76172,18.43,2025-01-05T14:56:56.412038716Z
1,1,16,82.76172,18.43,2025-01-05T14:57:03.631166156Z
0,1,16,82.78418,18.43,2025-01-05T14:57:10.80042699Z
1,1,16,82.77441,18.44,2025-01-05T14:57:18.068711851Z
0,1,16,82.75098,18.43,2025-01-05T14:57:25.190149344Z
1,1,16,82.75098,18.43,2025-01-05T14:57:32.405804676Z
0,1,16,82.74902,18.42,2025-01-05T14:57:39.509610324Z
1,1,16,82.72852,18.42,2025-01-05T14:57:46.641369693Z
0,1,16,82.74902,18.42,2025-01-05T14:57:53.757396201Z
1,1,16,82.73926,18.42,2025-01-05T14:58:00.869452041Z
0,1,16,82.71777,18.42,2025-01-05T14:58:08.042560222Z
1,1,16,82.72461,18.41,2025-01-05T14:58:15.209981425Z
0,1,16,82.75977,18.42,2025-01-05T14:58:22.351782024Z
1,1,16,82.75879,18.41,2025-01-05T14:58:29.451996687Z
0,1,16,82.74707,18.41,2025-01-05T14:58:36.573679033Z
1,1,16,82.78027,18.4,2025-01-05T14:58:43.69694121Z
0,1,16,82.76953,18.41,2025-01-05T14:58:50.844981675Z
1,1,16,82.79199,18.4,2025-01-05T14:58:57.962185645Z
0,1,16,82.81445,18.41,2025-01-05T14:59:05.181449899Z
1,1,16,82.79199,18.41,2025-01-05T14:59:12.303850169Z
